# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
232,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 렌터카 이용정보를 동의 없이 수사기관에 제공한 행위 및 이를 활용한 행위에 대한 손해배상 요구,,기각,형법 제20조에 따른 정당행위로서 위법성이 조각되는 '사회상규에 위배되지 아니하는 행위란 법질서 전체의 정신이나 사회윤리 내지 사회통념에 비추어 용인될 수 있는 행위를 말하는 바 피신청인1은 신청인의 범죄 혐의를 구체적이고 합리적으로…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1348&VA=content,https://datalaw.kr/mediation/#m-1348
233,2020,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,약관에 따라 최근 6개월 이전의 통화내역 열람요구를 거부한 행위에 대한 침해행위의 중지 등 요구,,열람 조치,"정보통신망법 제30조 제2항 제1호에 따라 이용자는 개인정보에 대하여 열람이나 제공을 요구할 수 있고, 정보통신서비스 제공자 등은 같은 조 제4항에 따라 지체 없이 필요한 조치를 하여야 함…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1339&VA=content,https://datalaw.kr/mediation/#m-1339
234,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 민원정보를 제3자에게 제공한 행위 및 이를 열람한 행위에 대한 손해배상 등 요구,,기각,"「지방자치법」 제101조 내지 제104조에서는 지방자치단체의 장은 지방자치단체의 사무를 총괄하며, 지방자치단체의 사무와 법령에 따라 위임된 사무를 관리하고 집행하되 그 권한의 일부를 보조기관에 위임하도록 규정하였고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1338&VA=content,https://datalaw.kr/mediation/#m-1338
235,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 개인정보를 동의 없이 제3자에게 제공한 행위에 대한 손해배상 요구,"100,000원",손해배상(10만원),"피신청인은 A화재와 업무수탁 계약을 체결한 설계사이고, C대리점은 GA(General Agency, 독립법인대리점)로서 모든 보험사의 상품을 판매하고 있으나…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1336&VA=content,https://datalaw.kr/mediation/#m-1336
236,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,업무상 실수로 교부한 보안카드를 회수하기 위하여 고객 휴대전화번호로 전화한 것에 대한 재발방지 조치 등 요구,,기각,"보안카드는 유출 시 금융사고 등의 위험이 있어 피신청인이 수량을 엄격하게 관리하는 자산으로, 피신청인이 착오로 신청인에게 교부한 보안카드를 회수하기 위하여 신청인 휴대전화번호를 이용하여…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1335&VA=content,https://datalaw.kr/mediation/#m-1335
237,2020,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,채무자와 동명이인인 신청인의 개인정보를 열람하여 채권추심 절차를 진행한 것에 대한 손해배상 등 요구,"500,000원","손해배상(50만원), 재발방지 조치","신청인이 사실관계 확인을 요청하였을 때 피신청인은 신청인이 이 사건 채무자의 체납 사실이 발생하기 이전에 출국하여 현재까지 캐나다에 거주하고 있으며, 계약서상 신청인과 이 사건 채무자의 주소와 휴대전화번호가 다르다는 사실을 확인할 수 있었으나…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1333&VA=content,https://datalaw.kr/mediation/#m-1333
238,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,기간제근로자 채용 관련 개인정보를 민사소송에 증거자료로 법원에 제공한 것에 대한 손해배상 요구,,기각,피신청인 소속 직원(이하 “소송수행자”라 한다)이 B사업 채용 관련 자료를 열람한 행위는 개인정보취급자로서 개인정보처리자의 지휘·감독을 받아 소송업무 권한 범위 내에서 개인정보를 처리한 것임,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1328&VA=content,https://datalaw.kr/mediation/#m-1328
239,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,학원 내 CCTV를 설치하여 동의 없이 강의장면 등을 촬영하고 이를 홍보에 활용한 행위에 대한 손해배상 등 요구,"600,000원","손해배상(60만원), 재발방지 조치","영상정보 활용 동의 여부에 대해 당사자 간 이견이 있고, 동의를 받았다고 주장하는 피신청인은 이를 뒷받침할 자료를 제시하지 못하고 있음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1321&VA=content,https://datalaw.kr/mediation/#m-1321
240,2020,조정결정사례,동의 없는 개인정보 수집,소속 직원들의 대외활동에 대한 자체감사를 위하여 기타소득자료 제출을 요청한 행위에 대한 재발방지 요구,,기각,"공공감사법 제20조 제1항 제2호는 '관계 서류의 제출요구로 규정하여 개인정보에 관한 자료의 제출 여부가 명시적으로 나타나지는 않더라도 소속 직원의 대외활동에 대한 자체감사 취지를 고려할 때, 기타소득자료는 개인정보가 포함될 것이라고 합리적으로…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1320&VA=content,https://datalaw.kr/mediation/#m-1320
241,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,면접위원 예정자에게 응시자 개인정보를 유출한 것에 대한 손해배상 요구,,기각,피신청인 채용담당 직원이 면접위원 예정자에게 이 사건 개인정보가 포함된 자료를 전자우편으로 전송한 행위는 피신청인이 「개인정보 보호법」 제15조 제1항 제1호에 따라 신청인의 동의를 받은 범위 내에서 개인정보를 이용한 것에 해당함,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1319&VA=content,https://datalaw.kr/mediation/#m-1319
242,2020,조정결정사례,기타 개인정보 침해,국민신문고 민원을 해명하기 위해 민원 신청 시 수집한 신청인의 주소를 이용한 행위에 대한 손해배상 요구,"100,000원",손해배상(10만원),"주문: 피신청인은 조정성립일로부터 4주 이내에 신청인에게 금 100,000원의 손해배상금을 지급한다.",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1309&VA=content,https://datalaw.kr/mediation/#m-1309
243,2020,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,개인정보 유출 업체에게 유출사실을 통지할 수 있도록 개인정보를 제공한 기관에 대한 손해배상 등 요구,"300,000원","손해배상(30만원), 나머지 각하",담당 공무원이 이 사건 유출업체에게 신청인의 개인정보를 이메일로 전송한 것은 개인정보가 유출되지 않도록 필요한 안전성 확보 조치를 다하지 않은 것으로 「개인정보 보호법」 제24조 제3항 및 제29조를 위반한 것임.,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1308&VA=content,https://datalaw.kr/mediation/#m-1308
244,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,신청인의 채용 지원정보를 제3자에게 유출한 것에 대한 손해배상 등 요구,,기각,이 사건 직원 채용은 B사업단에 속한 업무로서 이를 수행할 목적으로 피신청인에게 직원 채용을 요청하였고 피신청인이 이를 지원한 것이므로…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1303&VA=content,https://datalaw.kr/mediation/#m-1303
245,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,집행관이 민사집행과정에서 채무자에게 채권자 개인정보를 무단 제공한 것에 대한 손해배상 등 요구,,기각,"「민사집행법」에서 집행관은 집행력 있는 정본을 교부받으면 채무자 등에 대하여 강제집행을 할 수 있고, 지급 등의 이행을 받은 후 그에 대한 영수증서를 교부할 수 있는 권한을 가지며, 채권자는 그에 대하여 위임의 흠이나 제한을 주장하지 못한다고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1302&VA=content,https://datalaw.kr/mediation/#m-1302
246,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,소속 직원의 횡령 혐의 조사 과정에서 배우자의 계좌정보를 열람한 것에 대한 손해배상 등 요구,,기각,"신청인이 작성한 개인정보 수집·이용 동의서상의 수집·이용 목적 란에는 '금융사고 조사가 포함되어 있고, 수집·이용할 항목에는'거래일시, 금액 등 금융거래 내역정보가 포함되어 있는바, 이는 피신청인이 금융사고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1301&VA=content,https://datalaw.kr/mediation/#m-1301
247,2020,조정결정사례,침해사실 확인곤란,보험사가 진료정보를 전화로 확인하고 해당 정보를 제3자에게 유출한 것에 대한 손해배상 등 요구,,기각,"피신청인1이 보험금 지급 심사를 위해서는 '진단서와 같은 환자의 정확한 의료적 판단이 기재된 서류가 필요하나, 신청인이 제출한 '입·퇴원확인서와 '자동차지급내역확인서(1차)는 진단내용이 서로 일치하지 않았고…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1300&VA=content,https://datalaw.kr/mediation/#m-1300
248,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,주민등록번호 등이 포함된 신상기록카드를 개인정보 삭제조치 없이 수사기관에 제공한 것에 대한 손해배상 등 요구,,기각,「공공감사에 관한 법률 시행령」 제12조의2 제2항은 감사기구의 장은 법 제20조에 따른 자체감사의 사무를 수행하기 위하여 불가피한 경우 주민등록번호가 포함된 자료를 처리할 수 있다고 규정하고 있는바…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1299&VA=content,https://datalaw.kr/mediation/#m-1299
249,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,근로계약서 등에 포함된 개인정보를 삭제조치 없이 노동위원회에 제공한 것에 대한 손해배상 등 요구,,기각,"「근로기준법」 제28조 제1항은 사용자가 근로자에게 부당해고 등을 하면 근로자는 노동위원회에 구제를 신청할 수 있다고 규정하고 있고, 「노동위원회법」 제23조 제1항은 노동위원회는 같은 법 제2조의2에 따른 소관 사무와 관련하여…",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1298&VA=content,https://datalaw.kr/mediation/#m-1298
250,2020,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,연락대상을 혼동하여 배우자에게 체납사실을 알린 행위에 대한 손해배상 등 요구,"100,000원","손해배상(10만원), 재발방지 조치",피신청인의 행위가 국세징수법에 따른 업무수행을 위한 불가피한 경우로 보기 어려워 「 개인정보 보호법」 제 17 조에 해당하지 않음,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1293&VA=content,https://datalaw.kr/mediation/#m-1293
251,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보 보호조치 없이 수사기관에 신상기록카드 등을 제공한 것에 대한 손해배상 등 요구,,기각,「 개인정보 보호법 」 제 18 조 제 2 항 제 7 호는 공공기관인 개인정보처리자는 범죄의 수사와 공소의 제기 및 유지를 위하여…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1292&VA=content,https://datalaw.kr/mediation/#m-1292
252,2020,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,보험분석 목적으로 수집한 개인（신용）정보를 보험계약에 이용한 것에 대한 손해배상 등 요구,"300,000원","손해배상(30만원), 재발방지 조치","피신청인은 「개인정보 보호법」 제22조에서 정한 방법대로 동의를 받지 않았기에 이는 적법한 동의라고 할 수 없으며, 위법한 동의를 근거로 신청인의 개인(신용)정보를 수집·이용하였기에 신용정보법 제15조 제2항, 제33조 및 제34조를 위반하였음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1291&VA=content,https://datalaw.kr/mediation/#m-1291
253,2020,조정결정사례,동의 없는 개인정보 수집,연금 가입 시 녹취한 녹취파일의 내용을 동의 없이 전해 듣고 설명한 행위에 대한 손해배상 요구,,"열람 조치, 나머지 기각","피신청인 지사 직원이 가입대상자의 자격확인 등 연금가입에 관한 업무를 수행하고 있어, 신청인 연금가입에 문제가 있었는지 확인할 필요가 있었음",,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1290&VA=content,https://datalaw.kr/mediation/#m-1290
254,2020,조정결정사례,개인정보 취급자에 의한 누설·유출·훼손 등,신청인의 보험관련 민원 제기 사실을 직장 동료에게 유출시킨 것에 대한 손해배상 등 요구,"600,000원","손해배상(60만원), 재발방지 조치",피신청인 담당 직원이 사적으로 자신의 지인에게 이 사건 개인정보를 알린 행위는 계약자에 대한 개인정보가 분실·도난·유출·위조·변조 또는 훼손되지 않도록 관리해야 할 개인정보처리자의 주의의무를 소홀히 함으로써 제3자에게 이 사건 개인정보가 유출된…,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=1289&VA=content,https://datalaw.kr/mediation/#m-1289
